iter	Passed	Remaining
400	6715	10032
401	6724	10002
402	6731	9972
403	6744	9949
404	6753	9922
405	6762	9894
406	6772	9867
407	6780	9839
408	6796	9820
409	6804	9791
410	6821	9775
411	6829	9746
412	6841	9724
413	6853	9700
414	6867	9681
415	6878	9656
416	6887	9629
417	6898	9605
418	6908	9580
419	6918	9553
420	6926	9526
421	6933	9496
422	6942	9470
423	6955	9449
424	6967	9427
425	6975	9398
426	6993	9384
427	7002	9357
428	7013	9334
429	7024	9310
430	7032	9284
431	7040	9256
432	7051	9233
433	7063	9211
434	7075	9189
435	7091	9173
436	7098	9145
437	7107	9119
438	7117	9094
439	7137	9084
440	7150	9063
441	7158	9037
442	7169	9014
443	7181	8993
444	7194	8972
445	7209	8954
446	7217	8929
447	7239	8920
448	7248	8894
449	7259	8872
450	7277	8858
451	7290	8839
452	7302	8817
453	7319	8802
454	7328	8778
455	7336	8751
456	7344	8726
457	7356	8706
458	7362	8677
459	7372	8654
460	7383	8632
461	7398	8615
462	7423	8609
463	7432	8586
464	7441	8561
465	7448	8535
466	7455	8508
467	7468	8489
468	7482	8471
469	7503	8461
470	7515	8441
471	7526	8418
472	7537	8397
473	7550	8378
474	7562	8358
475	7576	8340
476	7595	8328
477	7603	8302
478	7610	8278
479	7620	8255
480	7635	8238
481	7643	8214
482	7651	8190
483	7664	8171
484	7712	8189
485	7723	8168
486	7732	8145
487	7741	8122
488	7752	8100
489	7768	8085
490	7778	8063
491	7790	8044
492	7802	8024
493	7824	8014
494	7829	7987
495	7843	7970
496	7859	7954
497	7881	7944
498	7892	7923
499	7905	7905
500	7913	7881
501	7923	7860
502	7939	7845
503	7951	7824
504	7975	7817
505	7986	7796
506	7998	7777
507	8009	7757
508	8019	7735
509	8028	7713
510	8035	7689
511	8046	7669
512	8061	7653
513	8072	7633
514	8086	7615
515	8101	7598
516	8113	7580
517	8126	7561
518	8137	7541
519	8150	7523
520	8156	7498
521	8167	7479
522	8181	7461
523	8194	7443
524	8203	7422
525	8212	7400
526	8217	7375
527	8227	7354
528	8236	7333
529	8249	7315
530	8273	7307
531	8285	7288
532	8293	7266
533	8300	7243
534	8306	7220
535	8323	7205
536	8334	7185
537	8355	7174
538	8365	7155
539	8382	7141
540	8395	7123
541	8404	7102
542	8414	7081
543	8423	7060
544	8439	7045
545	8449	7025
546	8461	7007
547	8481	6995
548	8487	6972
549	8498	6953
550	8509	6934
551	8518	6913
552	8528	6893
553	8537	6873
554	8551	6856
555	8559	6835
556	8566	6813
557	8574	6791
558	8581	6770
559	8590	6750
560	8599	6729
561	8608	6709
562	8625	6694
563	8650	6687
564	8676	6679
565	8692	6665
566	8700	6644
567	8708	6623
568	8719	6604
569	8731	6586
570	8741	6567
571	8754	6550
572	8779	6542
573	8788	6522
574	8807	6509
575	8817	6490
576	8828	6472
577	8838	6453
578	8848	6433
579	8859	6415
580	8865	6393
581	8887	6383
582	8895	6362
583	8911	6348
584	8924	6331
585	8933	6311
586	8942	6292
587	8959	6277
588	8973	6261
589	8988	6246
590	8996	6226
591	9011	6210
592	9031	6198
593	9051	6187
594	9068	6172
595	9079	6154
596	9089	6135
597	9102	6118
598	9111	6099
599	9120	6080
600	9128	6060
601	9139	6042
602	9157	6029
603	9169	6011
604	9179	5993
605	9187	5973
606	9203	5958
607	9211	5939
608	9222	5921
609	9232	5902
610	9239	5882
611	9246	5861
612	9251	5840
613	9264	5824
614	9277	5807
615	9288	5790
616	9298	5772
617	9307	5753
618	9315	5733
619	9328	5717
620	9338	5699
621	9354	5684
622	9362	5665
623	9374	5648
624	9403	5642
625	9411	5623
626	9421	5604
627	9430	5586
628	9442	5569
629	9451	5550
630	9461	5532
631	9469	5514
632	9481	5497
633	9493	5480
634	9503	5462
635	9514	5445
636	9539	5436
637	9549	5418
638	9560	5400
639	9573	5385
640	9590	5371
641	9606	5357
642	9636	5350
643	9651	5335
644	9665	5319
645	9672	5300
646	9683	5283
647	9695	5266
648	9704	5248
649	9715	5231
650	9730	5216
651	9743	5200
652	9758	5185
653	9778	5173
654	9788	5155
655	9802	5140
656	9811	5122
657	9830	5109
658	9835	5089
659	9854	5076
660	9865	5059
661	9872	5040
662	9883	5023
663	9894	5006
664	9906	4990
665	9918	4973
666	9926	4955
667	9930	4935
668	9935	4915
669	9945	4898
670	9967	4887
671	9985	4873
672	9994	4856
673	10008	4840
674	10022	4825
675	10030	4807
676	10040	4790
677	10047	4771
678	10055	4753
679	10078	4742
680	10091	4727
