iter	Logloss
0	0.6731518048
1	0.6520281369
2	0.6309784424
3	0.6185619207
4	0.5985263512
5	0.5800854747
6	0.5617252192
7	0.5456182502
8	0.5277092797
9	0.5121285189
10	0.498496029
11	0.4847058675
12	0.4724769008
13	0.4607846328
14	0.4482087166
15	0.4366909507
16	0.4292017557
17	0.4223264839
18	0.412195468
19	0.4047110766
20	0.3971052466
21	0.3880961154
22	0.3815463744
23	0.373651235
24	0.3661064234
25	0.3591374224
26	0.3520839794
27	0.3447294353
28	0.3386130927
29	0.3318608932
30	0.327314122
31	0.3217651959
32	0.3171563836
33	0.313242476
34	0.3087791681
35	0.3043475222
36	0.3004570508
37	0.2949534322
38	0.2921288568
39	0.2895051743
40	0.2844599722
41	0.281243401
42	0.2768220799
43	0.272488628
44	0.2700252948
45	0.2669160105
46	0.2640920175
47	0.2613113357
48	0.2588176201
49	0.2561754782
50	0.2543488273
51	0.2520726513
52	0.2499550675
53	0.2472881395
54	0.2456546069
55	0.2439870183
56	0.242218778
57	0.2401334943
58	0.238734514
59	0.2371398703
60	0.2354449108
61	0.2340782075
62	0.232535858
63	0.2316112617
64	0.2295092047
65	0.2281404039
66	0.2268875509
67	0.226016243
68	0.2250755166
69	0.2238674621
70	0.222680652
71	0.2217833861
72	0.2207678623
73	0.219714246
74	0.2186776483
75	0.2174909215
76	0.2157706235
77	0.2145605236
78	0.2129578111
79	0.2120790451
80	0.2112355362
81	0.2103512095
82	0.2093698522
83	0.2088288893
84	0.2082973829
85	0.2076399935
86	0.2069270538
87	0.2062698445
88	0.2056598291
89	0.2048943705
90	0.2042619582
91	0.2032094029
92	0.2024255055
93	0.2018420071
94	0.2008624
95	0.2003111425
96	0.1997595978
97	0.1991018461
98	0.1984926067
99	0.1976527925
100	0.1971401237
101	0.1967361339
102	0.1962638047
103	0.1958873348
104	0.1954709095
105	0.1949203584
106	0.1943045419
107	0.1938533572
108	0.1935338384
109	0.1932320329
110	0.1925963698
111	0.1920273956
112	0.1917484834
113	0.1914093319
114	0.1911210163
115	0.1906319667
116	0.1902942579
117	0.1900442445
118	0.1894127194
119	0.1890787696
120	0.1887802186
121	0.1885223597
122	0.1881350361
123	0.1877016902
124	0.1873951227
125	0.1870869422
126	0.1868288714
127	0.1864805701
128	0.1862229348
129	0.1857671788
130	0.1855183715
131	0.1853032907
132	0.1850110922
133	0.184775306
134	0.1841628804
135	0.1837517453
136	0.1832275931
137	0.1830114297
138	0.1825815142
139	0.1823808484
140	0.1821490719
141	0.1818193948
142	0.1816604901
143	0.1814627108
144	0.181215627
145	0.1809770419
146	0.1807201499
147	0.1805525155
148	0.1803582533
149	0.1801567733
150	0.1799503287
151	0.1795799275
152	0.1791741918
153	0.178952268
154	0.1788076362
155	0.1785977076
156	0.1782796351
157	0.1781182244
158	0.1779827476
159	0.1776146163
160	0.1773931469
161	0.1772103245
162	0.1769634373
163	0.1766358502
164	0.1765055834
165	0.1763003086
166	0.1760416174
167	0.1756363226
168	0.1754735983
169	0.1753406648
170	0.1750486309
171	0.1747063888
172	0.1745870458
173	0.1744387125
174	0.174307349
175	0.1740604123
176	0.1738657036
177	0.1737402913
178	0.1735639095
179	0.173231035
180	0.1731004991
181	0.1729800833
182	0.1727657817
183	0.1726327347
184	0.1724961105
185	0.1723346139
186	0.1720732456
187	0.1719102463
188	0.1717781575
189	0.1716461288
190	0.1715545575
191	0.1712861892
192	0.1709693456
193	0.1706471689
194	0.1705724532
195	0.1704217931
196	0.1702717726
197	0.1701366139
198	0.1700406276
199	0.1699568398
200	0.1697177612
201	0.1695425405
202	0.1694556254
203	0.1693390026
204	0.1691848145
205	0.1690792455
206	0.1690032371
207	0.1688705156
208	0.1687837259
209	0.1685648367
210	0.168462882
211	0.1683801367
212	0.1682841026
213	0.1681957421
214	0.1680752554
215	0.1679607915
216	0.1678455178
217	0.167681378
218	0.1675027509
219	0.1674382436
220	0.1673318761
221	0.1672776312
222	0.1671810214
223	0.1671015771
224	0.1669986138
225	0.1667117973
226	0.1666500279
227	0.1665416733
228	0.1664544778
229	0.1663168816
230	0.166229745
231	0.1661171402
232	0.1660067686
233	0.165930998
234	0.1657413806
235	0.1655676889
236	0.1655090381
237	0.1654528375
238	0.1653467001
239	0.1652403702
240	0.1651575589
241	0.1649270328
242	0.1647141722
243	0.1646728454
244	0.1646129734
245	0.1645380647
246	0.1644861126
247	0.16443111
248	0.1643664166
249	0.1642805549
250	0.1642073598
251	0.1641274928
252	0.1640298593
253	0.1639667988
254	0.16390554
255	0.1638587245
256	0.163686246
257	0.1635485813
258	0.163403313
259	0.1633514998
260	0.1633094699
261	0.1632628179
262	0.163186545
263	0.163106958
264	0.1630391173
265	0.1629866232
266	0.1629173627
267	0.1628461384
268	0.1627783713
269	0.1627253598
270	0.1626717914
271	0.1626161147
272	0.162538617
273	0.1624456403
274	0.1623887483
275	0.162321427
276	0.1622682878
277	0.1621980704
278	0.1621164278
279	0.162056873
280	0.1619951418
281	0.1619200083
282	0.1616700213
283	0.1616001707
284	0.1614159197
285	0.1613312672
286	0.1612663572
287	0.1612087173
288	0.161130024
289	0.1610702929
290	0.1609146061
291	0.1608748287
292	0.1608265437
293	0.1607840447
294	0.1606677896
295	0.1605771513
296	0.1605128857
297	0.1604066595
298	0.1603556401
299	0.1601994356
300	0.1601431488
301	0.1600875457
302	0.1600357427
303	0.1599856709
304	0.1599193552
305	0.1597763999
306	0.1597161045
307	0.1596657853
308	0.1596020236
309	0.1595353602
310	0.1594493148
311	0.1593209251
312	0.159279869
313	0.1591702208
314	0.1590243024
315	0.1589607021
316	0.1589038163
317	0.1588539829
318	0.1588033173
319	0.1587430797
320	0.1586817933
321	0.15861313
322	0.1585453575
323	0.1584705326
324	0.1584046923
325	0.158349439
326	0.1582514066
327	0.1582082042
328	0.1581221531
329	0.1580633228
330	0.1580246121
331	0.1579772193
332	0.1579088305
333	0.1578571966
334	0.1577693057
335	0.1577039157
336	0.1576534806
337	0.1575752753
338	0.1574752838
339	0.1573983854
340	0.1572689909
341	0.157205872
342	0.1571431883
343	0.1570856152
344	0.1570300258
345	0.156870731
346	0.1568022952
347	0.1567565825
348	0.1566957523
349	0.1566263423
350	0.1565899964
351	0.1565310816
352	0.1564630145
353	0.1564258173
354	0.1563633696
355	0.1563158698
356	0.1562665745
357	0.1562121149
358	0.1561345341
359	0.1560660809
360	0.1559963939
361	0.1559450769
362	0.1558409698
363	0.1557923109
364	0.155713577
365	0.1556533319
366	0.1556094732
367	0.1555593385
368	0.1554891533
369	0.1554329229
370	0.1553858841
371	0.1553032406
372	0.1552307964
373	0.1551709697
374	0.1550184324
375	0.1549536377
376	0.1548952724
377	0.1548459674
378	0.1547714917
379	0.1546886709
380	0.1546294153
381	0.154577983
382	0.1544778645
383	0.1544293199
384	0.1543707918
385	0.1543218001
386	0.1542485939
387	0.1541204598
388	0.1540712136
389	0.1540116866
390	0.1539668099
391	0.1539244583
392	0.1538640281
393	0.15380725
394	0.1537566853
395	0.1535983123
396	0.1534507387
397	0.1532975852
398	0.1532394716
399	0.1531910242
400	0.1531283444
401	0.1530893135
402	0.1530336199
403	0.1529775529
404	0.1529191568
405	0.1528573878
406	0.1527873353
407	0.1527149321
408	0.1525453822
409	0.1524758839
410	0.1523589972
411	0.1522931742
412	0.1521650115
413	0.1521167624
414	0.1520533624
415	0.1519720931
416	0.1519177094
417	0.1518577041
418	0.1517910122
419	0.1517140271
420	0.1516384386
421	0.1515874968
422	0.1515252561
423	0.1513088854
424	0.1512453014
425	0.1511895032
426	0.1510506711
427	0.1509983993
